"filename", "language", "Properties", "YAML", "Dart", "Groovy", "Swift", "C++", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\.gitattributes", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\android\app\build.gradle", "Groovy", 0, 0, 0, 54, 0, 0, 0, 0, 0, 3, 12, 69
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 40
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 9, 2, 34
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 1, 9
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\android\build.gradle", "Groovy", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\android\gradle.properties", "Properties", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\android\settings.gradle", "Groovy", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 1, 123
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\calendaricon.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\capacitygraph.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 2, 3, 49
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\donut.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 22, 9, 74
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\employeecard.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\gauge.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 9, 10, 61
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\hometile.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\mapicon.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\roompanel.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 3, 64
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\screen.dart", "Dart", 0, 0, 129, 0, 0, 0, 0, 0, 0, 33, 9, 171
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\sectiontile.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 7, 36
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\staffpanel.dart", "Dart", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 3, 100
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\custom_widgets\todaypanel.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\main.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 5, 7, 49
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\employee.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 5, 4, 11
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\event.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\manager.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 2, 10
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\notification.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\room.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\section.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\models\user.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 3, 31
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\authenticate.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\loading.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\login.dart", "Dart", 0, 0, 82, 0, 0, 0, 0, 0, 0, 1, 1, 84
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\register.dart", "Dart", 0, 0, 152, 0, 0, 0, 0, 0, 0, 11, 4, 167
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\signin.dart", "Dart", 0, 0, 102, 0, 0, 0, 0, 0, 0, 6, 5, 113
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\authenticate\test.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\calendar.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 1, 28
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\home.dart", "Dart", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\management.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\profile.dart", "Dart", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 1, 85
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\restaurant.dart", "Dart", 0, 0, 96, 0, 0, 0, 0, 0, 0, 1, 1, 98
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\rooms.dart", "Dart", 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 1, 95
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\staff.dart", "Dart", 0, 0, 80, 0, 0, 0, 0, 0, 0, 1, 1, 82
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\staffprofile.dart", "Dart", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 1, 78
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\viewevent.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\home\viewsections.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 1, 45
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\pages\wrapper.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 2, 3, 30
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\lib\services\auth.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 8, 7, 48
"c:\Users\Lakith Rambukkanage\Documents\Projects\flutter_learn\pubspec.yaml", "YAML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 31, 16, 72
"Total", "-", 10, 25, 1806, 94, 12, 1, 102, 185, 5, 184, 173, 2597